,_id,alcohol_vol,balling,beer_name,beer_type,bitterness,brewery,color,description,dry_matter,ebc,group_type,ingredients,price,temperature,vol
0,5bf27394f700e3ad4eb9fcc2,"ALKOHOL: 6,5% (V/V)",BALLING: 15°,ETYEK IPA,"0,5 l szűretlen, palackban erjesztett  élősör",IBU: 61,Etyeki sörmanifaktúra,,"Ahogy mi az IPA-t elképzeljük, Maris Otter Ale malátával és Centennial komlóval. A végletek harmóniája.
 Kiszerelés: 0,5 l szűretlen, palackban erjesztett  élősör 
",,,,"Ivóvíz, Maris Otter pale ale maláta, bécsi- és kristálymaláta, Centennial komló, sörélesztő
",950 Ft,,"0,5"
1,5bf27394f700e3ad4eb9fcc3,"ALKOHOL: 4,5% (V/V)",,BOHÉM PILZENI,"0,5 l szűretlen, palackban erjesztett  élősör",,Etyeki sörmanifaktúra,,"A cseh sörfőző hagyományok elötti tisztelgés, ahogy régen is készítették!
 Kiszerelés: 0,5 l szűretlen, palackban erjesztett  élősör 
",,,,"Ivóvíz, Bohemian Pilsner maláta és kristálymaláta, komlók, sörélesztő
",890 Ft,,"0,5"
2,5bf27395f700e3ad4eb9fcc4,"ALKOHOL: 4,5% (V/V)",,ROCINANTE BLONDE ALE,"0,5 l szűretlen, palackban erjesztett  élősör",,Etyeki sörmanifaktúra,,"Aranysárga sör az angol sörfőző hagyományok nyomán. A Rocinante Blonde hófehér habja alól egy könnyű és harmonikus sör bukkan elő. Ízében az édeskés malátás jegyek dominálnak, amit szépen kiegészít a Cascade komló citrusos, grapefruitos jellege. 
	Két fő összetevője a Maris Otter és a pilseni maláta, melyeket módjával fűszereztünk komlóval és hagytuk, hogy az ale élesztő szénsavval telítse. Könnyű testű, csábítóan buborékos finom ivósör.
 Kiszerelés: 0,5 l szűretlen, palackban erjesztett  élősör 
",,,,,890 Ft,,"0,5"
3,5bf27395f700e3ad4eb9fcc5,"ALKOHOL: 8,5% (V/V)",BALLING: 19°,MELKHIOR,"0,33 l szűretlen,   1 évig palackban érlelt sörkülönlegesség",IBU: 30,Etyeki sörmanifaktúra,,"LIMITÁLT KIADÁS!
 A Melkhior a belga sörök aszalt gyümölcsös, mazsolás világát idézi meg. Nagyon kellemes, nem tolakodó alkoholos és komlóaromák harmóniája, a szegfűszeg és az észtereknek köszönhető citrusos, narancsos illatok jellemzik ezt a mély borostyánszínű sört. Kortyérzete kellemesen krémes, közepesen testes. Hogy elérje különlegesen érett, harmonikus ízeit  1 évig palackban érleltük!  
 Kiszerelés: 0,33 l szűretlen,   1 évig palackban érlelt sörkülönlegesség 
",,,,"Ivóvíz, pale ale maláta, müncheni, kristálymaláta, Special B maláta, bécsi és keksz maláta, Magnum és Northern Brewer komlók, sörélesztő
",1.200 Ft,,"0,33"
4,5bf27395f700e3ad4eb9fcc6,"ALKOHOL: 6,5% (V/V)",BALLING: 15°,BÅRD'S PORTER,"0,5 l szűretlen, palackban erjesztett  élősör",IBU: 30,Etyeki sörmanifaktúra,,"Barna ale sör norvég recept alapján. Sötét mint a skandináv éjszaka és zamatos mint egy falat étcsokoládé.
 Kiszerelés: 0,5 l szűretlen, palackban erjesztett  élősör 
",,,,,950 Ft,,"0,5"
5,5bf27395f700e3ad4eb9fcc7,,,Fruit Punch,"0,33 liter, szűretlen, palackban érlelt,  élősör",,Etyeki sörmanifaktúra,,"Vége a nyári szezonnak, de a sörfőzők nem pihennek! Mi is egy újdonsággal jelentkezünk a most nagyon divatos hazy IPA kategóriában. 
 Legújabb sörünk a Fruit Punch egy egyedülálló kollaboráció terméke a norvég Lervig sörfőzdével.  
 Trópusi gyümölcsös IPA duplán hidegkomlózva  citra, simcoe és styrian wolf komlókkal, nyakonöntve rengeteg mangóval és maracujával. 
 Illatos, gyümölcsös, harapnivalóan juicy, kiegyensúlyozott keserűséggel, mellette nem túl magas alkoholtartalommal (6,5%), hogy akár egész este könnyen csússzon!  
 Limitált kiadás ezért érdemes lecsapni az elérhető palackokra! 
 Kiszerelés: 0,33 liter, szűretlen, palackban érlelt,  élősör 
",,,,"ivóvíz, árpamaláta, búzapehely, zabpehely komlók (citra, simcoe, styrian wolf, idaho 7), mangó és maracuja, sörélesztő
",1.090 Ft,,"0,33"
6,5bf27395f700e3ad4eb9fcc8,"ALKOHOL: 5,2% (V/V)","BALLING: 13,7°",AMBRÓZIA BELGA BÚZA,"0,5 l szűretlen, palackban erjesztett  élősör",IBU: 25,Etyeki sörmanifaktúra,,"Fűszeres búzasör belga recept alapján, korianderrel és naracshéjjal ízesítve.
 Kiszerelés: 0,5 l szűretlen, palackban erjesztett  élősör 
",,,,"Ivóvíz, búza- és árpamaláta, komlók, szárított édes- és keserű-narancshéj, koriander, búzasörélesztő
",890 Ft,,"0,5"
7,5bf27395f700e3ad4eb9fcc9,"ALKOHOL: 5,2% (V/V)","BALLING: 13,2°",PREMIER PALE ALE,"0,5 l szűretlen, palackban erjesztett  élősör",IBU: 35,Etyeki sörmanifaktúra,,"Világos borostyán színű angol típusú felsőerjesztésű sör szép sárgába hajló krémes habbal. Az aszalt gyümölcsök édeskés illata mellett a komló egyáltalán nem tolakodóan van jelen. A korty elején viszont már határozottan képviseli magát az amerikai Centennial komló. A karakteres nyitás után szépen bekúszik a Maris Otter pale ale maláta a maga kekszes ízével, ami tartósan megmarad a szájban a korty lenyelése után is. 
 Kiszerelés: 0,5 l szűretlen, palackban erjesztett  élősör 
",,,,"Ivóvíz, Maris Otter pale ale maláta, müncheni maláta, búzamaláta, Magnum és Centennial komló, sörélesztő
",890 Ft,,"0,5"
8,5bf27395f700e3ad4eb9fcca,,,FEKETESEREM,"033 liter, szűretlen, palackban érlelt,  élősör",,Etyeki sörmanifaktúra,,"Imperial Stout kakaóval és fahéjjal. 
 Kiszerelés: 033 liter, szűretlen, palackban érlelt,  élősör 
",,,,"ivóvíz, árpamaláta, komlók, zabpehely, kakaópor, fahéj, sörélesztő.
",990 Ft,,033
9,5bf27395f700e3ad4eb9fccb,,,VÖRÖSÖRÖM,"033 liter, szűretlen, palackban érlelt,  élősör",,Etyeki sörmanifaktúra,,"Egy amerikai vörös IPA vörösáfonyával.
 Kiszerelés: 033 liter, szűretlen, palackban érlelt,  élősör 
",,,,"ivóvíz, árpamaláta, komlók, vörösáfonya, sörélesztő.
",790 Ft,,033
