Unnamed: 0,_id,comments,date,lead,likes,share,source,text,title,url
0,5be2f8af7eaeed325cfc4f3b,,2016.03.27 11:13,"Megkezdődött a nyári időszámítás, az órákat egy órával előre kellett állítani. A változás érinti a közösségi közlekedést is.",From Facebook API,From Facebook API,nol.hu,"    A Mavir Magyar Villamosenergia-ipari Átviteli Rendszerirányító Zrt. az MTI megkeresésére közölte, az 1980 óta Magyarországon is alkalmazott módszer azon alapul, hogy az órák átállításával a szokásos ébrenléti idő jobban egybeesik a természetes világosság idejével, ebből adódóan reggel 7 és este 10 óra között kevesebbet kell használni a világítást.     A módszerrel hazánk egy napi átlagos villamosenergia-fogyasztását, azaz csaknem 30-40 ezer háztartás éves felhasználását, 120 megawattórát spórolni meg. Ez megfelel egy közepes méretű magyar város teljes éves fogyasztásának. Becsléseik szerint az óraátállítással a magyar fogyasztók évente a nyári időszámítás alatt összesen mintegy 4-5 milliárd forintot takaríthatnak meg villamosenergia-költségeikből.     Az átállás miatt változik a MÁV menetrendje is, a Magyarországról induló és ide érkező nemzetközi szerelvények közül a Dacia nemzetközi vonatok, a Corona IC, az Ister EuroNight (EN), a Kálmán Imre EN, a Beograd gyorsvonat, a Metropol EN, a Latorca IC és a Traianus-Bononia IC várhatóan egyórás késéssel éri el a budapesti, illetve a külföldi végállomását.     A Budapestről induló, Varsón át Moszkvába közlekedő Varsovia EuroCity vonatok oroszországi menetrendje is változik a nyári időszámítás bevezetésével, mivel Oroszországban nem állítják át az órákat.     A Budapesti Közlekedési Központ (BKK) azt közölte az MTI-vel, hogy az éjszakai járatok vasárnap hajnali 2 és 3 óra közötti indulásai kimaradnak. Emellett egyes éjszakai járatok menetrendjében további változásokra is számítani kell. Egyes járatok esetében a BKK további indulási időpontokat biztosít, másoknál az óraátállítás körüli indulási időpontokat korábbra vagy későbbre helyezik át. Azok a járatok pedig, amelyeket útközben ér az óraátállítás, már a nyári idő szerint érkeznek meg a további állomásokra.     A Budapest Airport által üzemeltetett Liszt Ferenc-repülőtéren az átállás közvetlenül nem érint egyetlen járatot sem, de a nyári időszámítással megkezdődik a nyári menetrendi időszak, amelyben a légitársaságok több járatot indítanak a magyar fővárosból.",Ezért lesz álmos még a következő két hétben is,http://nol.hu/mozaik/ezert-lesz-almos-meg-a-kovetkezo-ket-hetben-is-1608229
1,5be2f8af7eaeed325cfc4f3c,,2015.03.24 13:04,"Kedden az Európai Parlament három bizottságában, nyilvános meghallgatáson adják elő a prágai és a brüsszeli cseh képviselők azokat az érveket, amelyek alapján kezdeményezik a nyári, illetve a téli óraátállítások eltörlését, ezek helyett csupán egyetlen időszámítást javasolnak.",From Facebook API,From Facebook API,nol.hu,"– Döntsék el az illetékesek, melyik legyen az, nekünk teljesen mindegy – nyilatkozta lapunknak Petr Silar prágai szenátor, a For Only One Time civil szerveződés és a brüsszeli meghallgatás kezdeményezője. A továbbiakban kifejtette, hogy főleg a március végi változás okoz sokféle gondot millióknak, különösen a gyermekeknek, de nemcsak nekik – idézte Helena Illnerová neves cseh akadémikus megállapításait, aki éveken át tanulmányozta a nyári időszámítás hatását az ember biológiai órájára és az egészségére.  – Az átálláshoz való alkalmazkodás  a legtöbb embernél legalább egy hetet vesz igénybe, ezalatt Csehországban, de más államokban is lényegesen növekszik a közúti balesetek, de még az infarktusok száma is. Sokan nem tudják kellőképpen kialudni magukat, főleg a gyermekek álmosan és fáradtan mennek óvodába, illetve iskolába. Ugyanakkor az érvéként hangoztatott megtakarítások évről évre csökkenek, ráadásul ezekhez a jelenségekhez képest jelentéktelenek – közölte a cseh politikus, aki kollégáival két éve nemzetközi petíciót indított kezdeményezésének valóra váltása érdekében.  – Egymillió aláírást kellett volna összegyűjtenünk, hogy az Európai Parlamentben napirendre kerüljön az indítványunk, ami nem egyszerű és nem is olcsó megoldás, habár főleg Németországban, Finnországban és Lengyelországban sok ezren támogattak bennünket. Mégis úgy gondoljuk, hogy az EP-képviselők kedvező döntése esetén, jóval hamarabb célba érhetünk és talán már 2019-ben eltörölhetnék a sok gondot okozó óraátállításokat – tette hozzá a prágai honatya.",Nem akarják az óraátállítást a csehek,http://nol.hu/kulfold/nem-akarjak-az-oraatallitast-a-csehek-1523961
2,5be2f8af7eaeed325cfc4f3d,,2015.10.22 14:23,"Szombatról vasárnapra virradóra áttérünk a téli időszámításra,  , emiatt a Budapesti Közlekedési Központ (BKK) éjszakai járatainak menetrendje is változik.",From Facebook API,From Facebook API,nol.hu,"A BKK csütörtöki, az MTI-hez eljuttatott közleménye szerint a legtöbb járat menetrendjében - amelyek óránként, félóránként vagy még sűrűbben közlekednek -, a hajnali 2 és 3 óra közötti indulásokat megduplázzák, vagyis azok a téli és a nyári időszámítás szerint is közlekednek. Az órásnál ritkább követési idejű járatoknál - 908-as, 909-es, 918-as, 931-es, 940-es, 941-es, 948-as, 956-os, 973-as, 990-es, 992-es, 996-os és 998-as - egyedi menetrend lesz érvényben. Az óraigazítás hajnalán a kettő és három óra között közlekedő vonatok azon az állomáson térnek át a téli időszámításra, ahol éppen tartózkodnak - írja a  . Magyarország területén két nemzetközi vonatot érint az óraátállítás: a Bécs–Budapest–Bukarest között közlekedő Dacia nemzetközi vonat mindkét járata a békéscsabai állomáson várakozik a téli időszámítás szerinti indulási idejére.   Két belföldi vonat még a nyári időszámítás szerint közlekedik. A 2110-es számú, Budapest-Nyugatiból 0 óra 48 perckor induló szobi személyvonat a teljes útvonalon, az óraátállításban érintett Zebegény–Szob szakaszon is a nyári időszámítás szerint közlekedik. A 2510-es számú, Budapest-Nyugatiból 0 óra 43 perckor induló szolnoki személyvonat a teljes útvonalon, az érintett Cegléd–Szolnok szakaszon is a nyári időszámítás szerint közlekedik. Az óraigazítás hajnalán a Debrecenből 2 óra 36 perckor induló budapesti sebesvonat a teljes útvonalon már a téli időszámítás szerint közlekedik, vagyis Debrecenben megvárja a téli időszámítás szerinti indulási idejét.  A Debrecenből 2 óra 20 perckor Nagykerekibe induló személyvonat és a Lajosmizséről 2 óra 45 perckor a fővárosba induló személyvonat a teljes útvonalon a téli időszámítás szerint közlekedik. A Budapest-Nyugatiból 2:54 órakor induló Szolnokig közlekedő vonat a teljes útvonalon ugyancsak a téli időszámítás szerint közlekedik.",Az óraátállítás miatt változik az éjszakai járatok menetrendje,http://nol.hu/mozaik/az-oraatallitas-miatt-valtozik-az-ejszakai-bkk-jaratok-menetrendje-1570781
3,5be2f8af7eaeed325cfc4f3e,,,NaN,From Facebook API,From Facebook API,nol.hu,,,http://nol.hu/belfold/vasarnap-hajnalban-kell-visszaallitani-az-orat-1571091
4,5be2f8b07eaeed325cfc4f3f,,2016.03.26 08:00,NaN,From Facebook API,From Facebook API,nol.hu,"Március 27-én kezdődik a nyári időszámítás; az órákat hajnali 2 órakor egy órával előre, 3 órára kell átállítanunk. A nyári időszámítás kezdete rendre március utolsó vasárnapjára esik, így ez a nap csak 23 órából áll; az átállítással elveszett egy órát októberben kapjuk vissza.  Az Európában egységes óraállítási rend azon alapul, hogy március 21. és szeptember 21. - a tavaszi és őszi napéjegyenlőség - között a nappalok hosszabbak, mint az éjszakák. Az óraátállításnak energiatakarékossági okai vannak: minél inkább egybeesik az átlagos ébrenléti időnk (a 07-22 óra közötti időszak) a természetes nappali világosság idejével, annál kevesebbet kell mesterséges világítást használnunk.  Ezzel jelentős mennyiségű energiát és pénzt spórolhatunk: a Magyar Villamosenergia-ipari Átviteli Rendszerirányító Zrt. adatai szerint az óraátállítással 120 gigawattóra villamos energia (egy városnyi háztartás éves fogyasztása) takarítható meg évente.		            ","Rövid lesz a vasárnap, át kell állítanunk az órákat",http://nol.hu/tud-tech/rovid-lesz-a-vasarnap-at-kell-allitanunk-az-orakat-1607199
5,5be2f8b07eaeed325cfc4f40,,2015.03.25 02:17,"Vasárnap óraátállítás: ezúttal egy órával „rövidül” az éjjel. A mostantól október utolsó vasárnapjáig tartó nyári időszámítás révén egynapnyi energiafogyasztást – országosan 40 ezer háztartás éves fogyasztását – takaríthatjuk meg – közölte az áramrendszert irányító Mavir. Az állami cég a napfogyatkozás előtt annak energiatermelésre gyakorolt kockázataira figyelmeztetett, utána viszont nem részletezte a konkrét tapasztalatokat.",From Facebook API,From Facebook API,nol.hu,"Vasárnap, azaz 2015. március 29-én hajnali 2 órakor kell 3 órára átállítanunk óráinkat, azaz 60 perccel rövidül meg a hétvégénk – hívja fel a figyelmet a hazai áramrendszert irányító állami Mavir. Az 1980 óta hazánkban is alkalmazott módszerrel áttérünk a nyári időszámításra. Így a több évtizedes gyakorlattal évente hazánk egynapi átlagos villamosenergia-fogyasztását takaríthatjuk meg – írja a cég. Az Európai Unió egységes módszere azon alapul, hogy az órák átállításával a szokásos ébrenléti idő jobban egybeesik a természetes világosság idejével. Ebből adódóan reggel 7 és este 10 óra között kevesebbet kell használni a világítást. A Mavir évtizedek óta gyűjti és elemzi a mindenkori fogyasztási adatokat. Az ország villamosenergia-megtakarítása az óraátállítást megelőző és követő napok fogyasztási görbéi alapján becsülhető. Ezekből az adatokból évről évre megállapítható, hogy a módszerrel hazánk egynapi átlagos villamosenergia-fogyasztását spórolhatjuk meg, ami megfelel közel 40 ezer háztartás éves felhasználásának. Az 1980 óta alkalmazott eljárás segítségével eddig közel 4 ezer gigawattóra energiát takarítottunk meg, ami az ország közel 5 heti átlagfogyasztása. A megtakarítás jellemzően a háztartásokban, az építkezéseken, a hosszan nyitva tartó intézményekben és szolgáltatóknál, valamint a középületek díszkivilágítása kapcsán keletkezik. Az, hogy egy adott tavaszi időszakban mindez mit eredményez, több tényezőtől is függ, többek között az időjárástól vagy az ünnepnapok alakulásától. Az ország villamosenergia-rendszerének legfontosabb adatai folyamatosan nyomon követhetők a társaság honlapján: www.mavir.hu. A nyári időszámítás ötletét már Benjamin Franklin is felvetette. Az első komoly próbálkozás William Willett nevéhez fűződik, aki 1907-től éveken át sikertelenül szorgalmazta a bevezetését. Elsőként az USA-ban, 1916-ban, energiatakarékossági okokból vezették be az alternatív időszámítást. Ezt Magyarország is átvette, de voltak évek, amikor szünetelt. A módszert 1954-57-ben még a munkanapok esti csúcsterhelésekor jelentkező kapacitási nehézségek enyhítésének reményében alkalmazták. 1958 és 1979 között a nyári időszámítás használata szünetelt. 1980-ban viszont újra bevezették villamosenergia-megtakarítási céllal. A II. világháború alatt az órákat néhány ország folyamatosan egy órával előre állította (például az USA-ban 1942. február 9-től 1945. szeptember 30-ig). Nagy-Britannia „dupla nyári időszámítás""-t használt, nyáron két órával előre állítva az órákat, télen pedig egy órával. Az óraátállítást békeidőben először 1976-ban, három évvel az első olajárrobbanás után vezették be Franciaországban. A hatóságok a lépést azzal indokolták, hogy az akcióval 300 ezer tonna kőolajnak megfelelő energiamegtakarítás érhető el. Magyarországon 1980 óta alkalmazzák évről évre a nyári időszámítást, szintén energiatakarékossági okokból. A nyári-téli időszámítást jelenleg kormányrendelet szabályozza, amit az EU tagállamaiban érvényes szabályhoz igazítottak. Eszerint a nyári időszámítás minden év március utolsó vasárnapján kezdődik és október utolsó vasárnapjáig tart. 1996-ig Magyarországon a nyári időszámítás szeptemberben ért véget. Ekkor igazították egy kormányrendelettel a nyári-téli óraátállítást az Európai Unió tagállamaiban érvényes rendszerhez. Eszerint a nyári időszámítás március utolsó vasárnapjától október utolsó vasárnapjáig tart. Amerikában november első vasárnapján állítják át az órát téli időszámításra. Európában minden időzónában ugyanakkor, Amerikában viszont időzónánként más-más időpontokban állítják át az órákat.  ",Vasárnap óraátállítás,http://nol.hu/gazdasag/vasarnap-oraatallitas-1524063
6,5be2f8b07eaeed325cfc4f41,,2015.10.21 14:40,"Most vasárnap hajnali 3 órakor az óra 2-re áll vissza: a téli időszámítással nemcsak most aludhatunk egy órával többet, hanem a téli rezsiszámlán is foghatunk.",From Facebook API,From Facebook API,nol.hu,"Idén október 25-én kezdődik a téli időszámítás: szombatról vasárnapra virradó hajnalban állítjuk vissza az órákat 3-ról 2 órára - figyelmeztet a központi áramrendszert üzemeltető állami Mavir. Az óraátállítás haszna kettős: villamos energiát takarítunk meg, egyúttal kíméljük a környezetünket. A Mavir Magyar Villamosenergia-ipari Átviteli Rendszerirányító ZRt. évek óta méri és elemzi az adatokat. Ezekből kitűnik, hogy az átállítással évi mintegy 120 ezer megawattóra (MWh) villamos energiát takarít meg az ország, ami 30-40 ezer háztartás éves energiaszükségletével egyezik meg. Ez megfelel egy közepes méretű magyar város teljes éves fogyasztásának.  Az egész Európában egységesen alkalmazott óraállítási módszer azon alapul, hogy március 20. és szeptember 22. – azaz a tavaszi és őszi napéjegyenlőség – között a nappalok hosszabbak, mint az éjszakák. Minél inkább egybeesik a lakosság szokásos ébrenléti ideje – a reggel 7 és este 10 óra közötti időszak – a természetes nappali világosság idejével, nyáron annál kevesebb világítást kell használni. A Mavir becslései szerint az óraátállítással a magyar fogyasztók évente a nyári időszámítás alatt mintegy 4-5 milliárd forintot takaríthatnak meg  villamosenergia-költségeikből. Mindez azonban nem csupán pénzügyi, hanem környezetvédelmi szempontból is rendkívül előnyös, hiszen az alacsonyabb fogyasztás kevesebb károsanyag-kibocsátással is jár – idézi a közlemény Tihanyi Zoltánt, a Mavir rendszerirányítási és nemzetközi kapcsolatok vezérigazgató-helyettesét. Arra a Mavir nem tér ki, de mi feltétlenül szükségesnek tartjuk megjegyezni, hogy így most szombat éjjel egy potyaórával többet is lehet aludni.  ",Vasárnap egy órával többet aludhatunk,http://nol.hu/gazdasag/vasarnap-egy-oraval-tobbet-aludhatunk-1570545
7,5be2f8d37eaeed27bc275fb4,From Facebook API,2018. augusztus 31. 10:54,"Az emberek akaratának megfelelően meg kell szüntetni az évenként kétszeri óraátállítást, és át kell térni az állandó nyári időszámításra - jelentette ki Jean-Claude Juncker, az Európai Bizottság elnöke pénteken a ZDF német országos közszolgálati televíziónak.",From Facebook API,From Facebook API,888.hu,"A politikus a belgiumi Genvalban, a brüsszeli bizottság kétnapos kihelyezett ülésének szünetében elmondta: az a meggyőződése, hogy az Európai Unióban megszűnik a téli és a nyári időszámítás kettőssége. "" "" – hangsúlyozta Jean-Claude Juncker, kiemelve, hogy az ügyben tartott európai konzultáción a résztvevők többsége elutasította az évenként kétszer esedékes óraátállítást. – mondta a luxemburgi kereszténydemokrata politikus. Hozzátette: első lépésként a bizottságot igyekszik meggyőzni arról, hogy át kell térni az állandó nyári időszámításra, utána pedig az Európai Parlamentnek (EP) és a tagállamoknak kell lépniük az ügyben. A július elejétől augusztus közepéig tartott konzultáción 4,6 millióan fejezték ki véleményüket, 80 százalék az óraátállítás megszüntetése mellett foglalt állást. Az EP indoklása szerint az állampolgári kezdeményezések azt mutatják, hogy a márciusban és októberben esedékes óraátállítás körül az egészségi hatások miatt nagy a lakossági aggodalom, az óraátállítással elérhető energiamegtakarítás viszont jelentéktelen mértékű. A szabályozás felülvizsgálata Finnország kezdeményezésére került napirendre, miután állampolgárok tízezrei kérték a finn kormányt, hogy szüntessék meg az évi kétszeri óraátállítást, és maradjon a nyári időszámítás. Az EP és az Európai Unió Tanácsa – a tagállami kormányok szakminisztereit összefogó testület – 2001-ben vezetett be az egész Európai Unióban kötelező irányelvet a nyári és a téli időszámításról, ismertebb nevén az óraátállításról.  ",Juncker: át kell térni az állandó nyári időszámításra,https://888.hu/article-juncker-at-kell-terni-az-allando-nyari-idoszamitasra
8,5be2f8d37eaeed27bc275fb5,From Facebook API,2017. március 25. 17:01,"Vasárnap hajnalban kezdődik a nyári időszámítás, éjjel 2 órakor 3 órára kell előre állítani az órákat. Jöhetnek ismét a nyűgös reggelek.",From Facebook API,From Facebook API,888.hu,"A 2017-es nyári időszámítás kezdete Európában mindig március utolsó vasárnapja, és egészen október utolsó vasárnapjáig tart. a Magyar Villamosenergia-ipari Átviteli Rendszerirányító Zrt. Szerint. A nyári időszámítás alatt ez 100-120 ezer megawattóra villamos energia.   Hasonló logikával gondolkodtak akkor is, amikor elkezdték az időszámítást felosztani téli-nyári ciklusra. Mai formájában az óraátállítás 1916 óta létezik, akkor Németország vezette be annak érdekében, hogy az első világháború alatt spóroljon a világítással. A háború alatt az Egyesült Államok és Nagy-Britannia is átvette, de utána elhagyták az óraátállítást, egészen a második világháborúig. Az 1980-as évektől tekinthetjük az óraátállítást általánosnak Európában.  (MTI,  )",El ne felejtsd: holnap óraátállítás!,https://888.hu/article-el-ne-felejtsd-holnap-oraatallitas
9,5be2f8d47eaeed27bc275fb6,From Facebook API,2016. november 16. 08:58,Az országgyűlés gazdasági bizottsága legalábbis megszavazta az erre vonatkozó javaslatot.,From Facebook API,From Facebook API,888.hu,"Kepli Lajos javaslata arra irányul, hogy Magyarország egész évben a nyári időszámításban maradjon. Ha a gazdasági bizottság után az országgyűlés is rábólint, akkor jövőre már csak egyszer kell elviselnünk az óraátállítás okozta kellemetlenségeket. Sőt, ezzel az egészségügyi veszélyek kockázatát is csökkenthetjük. Az óraátállítás ugyanis növeli a szív- és érrendszeri kockázatot. Svédországban és Amerikában is  , hogy az óraátállítás utáni hétfőn és kedden, az első munkanapokon körülbelül tíz százalékkal emelkedik a szívrohamok száma.","Lehet, hogy nemsokára már nem kell az óraátállítással bajlódnunk",https://888.hu/article-lehet-hogy-nemsokara-mar-nem-kell-az-oraatallitassal-bajlodnunk
